timestamp,mem_util_ec2_one,mem_util_ec2_two,mem_util_rds_one,mem_util_ec2_three,mem_util_ec2_four
2014-02-14 14:30:00,0.132,1.732,6.456,51.846,2.296
2014-02-14 14:35:00,0.134,1.732,5.816,44.508,2.144
2014-02-14 14:40:00,0.134,1.96,6.268,41.244,2.274
2014-02-14 14:45:00,0.134,1.732,5.816,48.56800000000001,2.066
2014-02-14 14:50:00,0.134,1.706,5.862,46.714,2.35
2014-02-14 14:55:00,0.134,1.734,6.246,44.986,2.136
2014-02-14 15:00:00,0.134,1.766,6.648,49.108,2.366
2014-02-14 15:05:00,0.134,1.766,6.448,40.47,2.252
2014-02-14 15:10:00,0.066,2.026,6.46,53.404,2.4
2014-02-14 15:15:00,0.132,1.7619999999999998,5.834,45.4,2.18
2014-02-14 15:20:00,0.134,1.704,6.232,43.216,2.352
2014-02-14 15:25:00,0.066,1.834,6.064,49.72,3.434
2014-02-14 15:30:00,0.132,1.832,6.0520000000000005,46.37,2.43
2014-02-14 15:35:00,0.202,1.826,5.834,43.756,2.0340000000000003
2014-02-14 15:40:00,0.068,1.908,6.464,47.582,2.296
2014-02-14 15:45:00,0.134,1.798,5.622000000000001,40.738,2.052
2014-02-14 15:50:00,0.132,1.732,6.238,51.216,2.314
2014-02-14 15:55:00,0.134,1.802,6.06,46.31399999999999,2.07
2014-02-14 16:00:00,0.134,1.764,6.04,45.0,2.4
2014-02-14 16:05:00,0.136,1.86,5.837999999999999,50.224,2.07
2014-02-14 16:10:00,0.132,1.998,6.024,48.096,3.588
2014-02-14 16:15:00,0.134,1.7719999999999998,5.86,43.544,2.192
2014-02-14 16:20:00,0.134,1.734,6.432,48.85,2.3
2014-02-14 16:25:00,0.066,1.766,6.6720000000000015,40.942,2.134
2014-02-14 16:30:00,0.134,1.76,6.0520000000000005,52.58600000000001,2.2840000000000003
2014-02-14 16:35:00,0.134,1.7380000000000002,5.63,45.802,2.12
2014-02-14 16:40:00,0.066,1.93,6.226,43.122,2.35
2014-02-14 16:45:00,0.134,1.8,6.06,50.774,2.166
2014-02-14 16:50:00,0.134,1.732,5.85,46.262,2.314
2014-02-14 16:55:00,0.134,1.766,6.022,43.052,2.186
2014-02-14 17:00:00,0.132,1.798,6.058,50.718,2.33
2014-02-14 17:05:00,0.136,1.8,5.622000000000001,45.798,2.108
