timestamp,mem_util_ec2_one,mem_util_ec2_two,disk_util_ec2_one,mem_util_ec2_three
2014-04-02 14:29:00,0.066,42.652,0.0,0.068
2014-04-02 14:34:00,0.066,41.362,0.0,0.102
2014-04-02 14:39:00,0.068,43.408,0.0,0.1
2014-04-02 14:44:00,0.134,40.262,0.0,0.098
2014-04-02 14:49:00,0.066,40.328,0.0,0.102
2014-04-02 14:54:00,0.066,42.652,0.0,0.2
2014-04-02 14:59:00,0.134,39.836,0.0,0.1
2014-04-02 15:04:00,0.066,42.57,19949200.0,29.138
2014-04-02 15:09:00,0.068,45.212,48951300.0,92.358
2014-04-02 15:14:00,0.066,41.15,431199000.0,89.306
2014-04-02 15:19:00,0.066,42.91,36434700.0,89.81
2014-04-02 15:24:00,0.134,43.756,1558940.0,20.24
2014-04-02 15:29:00,0.066,38.522,0.0,0.1
2014-04-02 15:34:00,0.068,42.488,0.0,0.102
2014-04-02 15:39:00,0.066,41.268,0.0,0.102
2014-04-02 15:44:00,0.132,42.136,0.0,0.066
2014-04-02 15:49:00,0.066,42.066,0.0,0.098
2014-04-02 15:54:00,0.068,43.544,0.0,0.1
2014-04-02 15:59:00,0.132,38.404,0.0,0.102
2014-04-02 16:04:00,0.066,42.018,0.0,0.098
2014-04-02 16:09:00,0.066,44.872,0.0,0.098
2014-04-02 16:14:00,0.066,40.658,0.0,0.066
2014-04-02 16:19:00,0.066,42.276,0.0,0.098
2014-04-02 16:24:00,0.134,43.052,0.0,0.102
2014-04-02 16:29:00,0.066,43.56800000000001,0.0,0.068
2014-04-02 16:34:00,0.066,38.356,0.0,0.1
2014-04-02 16:39:00,0.066,39.788,0.0,0.102
2014-04-02 16:44:00,0.066,41.83,0.0,0.1
2014-04-02 16:49:00,0.132,39.038,0.0,0.102
2014-04-02 16:54:00,0.068,42.184,0.0,0.068
2014-04-02 16:59:00,0.134,41.76,0.0,0.1
2014-04-02 17:04:00,0.066,43.99,0.0,0.102
2014-04-02 17:09:00,0.066,41.476000000000006,34572700.0,73.17
2014-04-02 17:14:00,0.068,39.236,323807000.0,84.05
2014-04-02 17:19:00,0.066,41.798,143349000.0,94.87
2014-04-02 17:24:00,0.134,39.722,35015100.0,68.828
2014-04-02 17:29:00,0.066,40.61,9830.4,0.102
2014-04-02 17:34:00,0.068,44.414,0.0,0.066
2014-04-02 17:39:00,0.068,38.404,0.0,0.1
2014-04-02 17:44:00,0.134,41.982,1259110.0,8.1
2014-04-02 17:49:00,0.066,42.066,49739400.0,94.504
2014-04-02 17:54:00,0.2,42.33600000000001,12263400.0,0.136
2014-04-02 17:59:00,0.066,41.01,0.0,0.068
2014-04-02 18:04:00,0.068,43.122,0.0,0.102
